CustomerID,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
195293,21,Male,8,3,7,23,Standard,Monthly,255.0,6,1
383249,25,Male,10,25,0,15,Premium,Quarterly,812.71,20,0
412663,32,Female,6,14,1,16,Standard,Annual,989.87,6,0
372253,28,Female,45,30,1,19,Basic,Quarterly,843.46,14,0
58344,43,Female,14,11,0,25,Premium,Monthly,725.0,23,1
141086,21,Male,13,8,0,6,Premium,Monthly,798.0,29,1
371694,40,Female,54,27,1,18,Basic,Quarterly,935.54,13,0
1568,34,Male,29,9,8,15,Basic,Annual,905.0,20,1
294262,36,Male,40,25,2,15,Standard,Annual,518.37,10,0
349437,29,Male,14,21,1,13,Premium,Quarterly,643.54,11,0
300890,43,Female,6,27,0,18,Premium,Quarterly,581.69,6,0
92842,55,Female,30,8,3,30,Basic,Monthly,620.0,26,1
72172,25,Male,19,8,4,8,Standard,Annual,255.0,26,1
149636,64,Male,16,26,10,1,Premium,Annual,644.0,3,1
72975,60,Female,30,8,4,18,Premium,Quarterly,109.0,13,1
276110,40,Male,16,15,1,3,Standard,Quarterly,554.57,16,0
258806,23,Male,60,16,3,19,Premium,Quarterly,109.59,23,1
10369,36,Female,40,29,6,28,Premium,Monthly,325.0,21,1
16546,61,Male,54,12,10,11,Basic,Monthly,573.0,22,1
79554,33,Female,24,19,6,11,Basic,Monthly,592.0,13,1
64529,23,Female,6,26,6,15,Premium,Quarterly,675.0,18,1
406392,48,Male,38,1,1,3,Basic,Quarterly,945.73,2,0
386302,30,Male,32,17,1,18,Basic,Annual,645.6,30,0
260374,32,Female,22,25,5,23,Basic,Monthly,404.86,21,1
96025,55,Male,21,24,10,2,Basic,Quarterly,504.0,24,1
176444,30,Female,29,4,8,21,Premium,Quarterly,742.0,17,1
254801,28,Female,23,4,3,6,Basic,Monthly,259.21,21,1
26334,33,Male,32,15,0,1,Basic,Annual,395.0,26,1
289787,46,Male,15,20,1,10,Premium,Quarterly,751.64,3,0
321078,29,Female,40,16,2,18,Premium,Annual,570.03,12,0
11733,50,Female,1,6,3,12,Basic,Annual,715.0,26,1
343479,50,Female,38,23,5,2,Basic,Annual,974.52,7,0
441287,22,Male,24,29,0,14,Premium,Annual,756.05,29,0
154708,34,Female,60,2,1,23,Standard,Quarterly,299.0,14,1
151180,40,Male,52,20,5,4,Standard,Annual,491.0,2,1
341260,40,Male,54,2,1,14,Premium,Annual,942.63,28,0
43214,38,Female,13,22,8,28,Premium,Annual,922.0,8,1
311202,39,Female,19,12,2,16,Standard,Annual,934.26,8,0
102389,23,Female,26,22,6,29,Standard,Annual,314.0,2,1
355488,33,Male,50,10,3,17,Standard,Annual,963.2,16,0
106444,38,Female,32,20,6,3,Basic,Monthly,461.0,30,1
410915,41,Female,29,25,3,0,Standard,Annual,649.8,10,0
335379,36,Female,27,27,1,1,Basic,Annual,959.62,1,0
369645,32,Male,25,8,3,16,Standard,Quarterly,876.66,5,0
397523,30,Male,9,15,1,4,Basic,Quarterly,963.84,30,0
216887,32,Female,26,24,4,5,Basic,Monthly,168.3,20,1
204533,33,Male,46,23,2,22,Standard,Monthly,376.62,17,1
317365,42,Male,49,10,1,13,Premium,Quarterly,649.81,17,0
36382,43,Male,39,3,6,18,Basic,Quarterly,984.0,20,1
298431,34,Male,55,10,1,17,Premium,Annual,501.6,9,0
381444,48,Male,38,5,4,5,Premium,Annual,741.98,15,0
430111,18,Male,32,4,1,2,Standard,Annual,895.39,27,0
368425,30,Female,34,9,2,3,Basic,Annual,921.36,7,0
247524,29,Female,47,8,10,0,Standard,Quarterly,498.11,5,1
448364,35,Male,22,22,3,5,Basic,Quarterly,572.11,22,0
290616,18,Male,35,16,0,15,Premium,Annual,900.28,16,0
24977,33,Male,35,18,6,14,Premium,Quarterly,552.0,12,1
134244,35,Female,57,22,6,28,Basic,Monthly,444.0,17,1
7446,25,Female,47,4,3,11,Basic,Quarterly,822.0,7,1
38700,49,Male,20,2,9,29,Standard,Quarterly,676.0,23,1
374758,37,Male,12,15,2,17,Basic,Annual,896.55,14,0
264874,41,Male,57,30,1,7,Premium,Quarterly,789.32,27,0
287982,22,Female,48,18,2,16,Premium,Annual,820.32,7,0
428713,39,Male,45,22,3,19,Basic,Annual,890.52,14,0
58805,22,Female,4,8,1,30,Premium,Quarterly,746.0,1,1
285982,25,Male,50,7,1,19,Premium,Quarterly,996.27,5,0
114817,51,Female,47,13,0,13,Standard,Annual,149.0,17,1
194018,53,Male,45,20,1,25,Basic,Quarterly,984.0,30,1
368817,30,Female,33,30,3,2,Basic,Annual,803.17,10,0
103638,57,Male,3,26,5,30,Premium,Annual,240.0,7,1
435364,33,Male,20,22,3,15,Basic,Quarterly,595.79,11,0
295725,43,Male,35,12,1,1,Basic,Annual,606.87,26,0
98296,64,Female,14,15,10,8,Premium,Monthly,149.0,27,1
264060,47,Female,42,17,1,17,Standard,Annual,847.19,3,0
168453,54,Male,26,26,1,21,Standard,Monthly,889.0,28,1
402454,36,Male,31,26,0,6,Standard,Annual,583.94,24,0
342218,39,Female,2,17,0,15,Standard,Quarterly,556.91,13,0
435245,44,Male,31,9,3,1,Premium,Quarterly,606.49,8,0
180788,18,Male,44,26,2,23,Premium,Quarterly,710.0,3,1
43471,42,Male,23,10,8,7,Standard,Quarterly,609.0,13,1
129338,39,Female,27,30,5,4,Basic,Monthly,286.0,4,1
408002,50,Male,35,16,5,16,Premium,Quarterly,746.13,4,0
291886,40,Male,31,16,2,19,Standard,Quarterly,656.57,10,0
415801,24,Female,30,30,2,3,Standard,Annual,769.67,13,0
120005,30,Male,24,27,6,24,Premium,Quarterly,736.0,12,1
259769,42,Male,19,6,5,4,Basic,Annual,779.74,6,1
202489,44,Male,27,7,4,7,Basic,Quarterly,281.0,24,1
432395,39,Female,28,20,1,13,Standard,Quarterly,780.31,12,0
245493,63,Male,48,19,9,16,Standard,Quarterly,694.67,28,1
161950,18,Female,20,19,8,1,Premium,Quarterly,330.0,24,1
184751,40,Female,57,16,9,13,Standard,Annual,123.0,14,1
356956,50,Male,18,29,4,6,Standard,Quarterly,795.53,7,0
29203,37,Female,41,6,10,13,Premium,Quarterly,770.0,2,1
222158,65,Male,57,30,6,10,Standard,Quarterly,368.41,28,1
149691,40,Male,16,19,4,26,Premium,Monthly,187.0,9,1
274834,42,Female,32,6,1,4,Basic,Annual,857.05,8,0
288581,37,Female,4,2,0,7,Standard,Annual,668.84,12,0
224950,64,Female,24,17,10,27,Basic,Monthly,799.93,3,1
112242,30,Female,26,24,6,27,Standard,Quarterly,585.0,17,1
284022,49,Male,45,29,2,1,Basic,Annual,988.56,5,0
183809,39,Male,20,30,1,28,Standard,Annual,491.0,26,1
106872,58,Male,33,4,5,20,Standard,Annual,508.0,8,1
243629,62,Female,13,23,9,24,Basic,Annual,576.85,24,1
274931,41,Male,7,10,3,18,Standard,Annual,607.02,16,0
11586,25,Female,15,27,5,27,Standard,Annual,523.0,13,1
111077,48,Male,22,27,7,2,Standard,Annual,799.0,23,1
371933,39,Male,28,21,2,2,Premium,Annual,578.9,29,0
440405,41,Male,9,18,2,3,Premium,Annual,699.84,3,0
308774,48,Female,24,25,3,19,Standard,Quarterly,659.81,2,0
69498,47,Female,16,6,3,13,Standard,Annual,931.0,6,1
125032,37,Female,52,29,10,19,Standard,Monthly,135.0,2,1
383641,32,Female,25,19,1,10,Basic,Quarterly,623.63,10,0
317945,41,Male,37,29,2,19,Basic,Quarterly,996.02,18,0
173224,33,Female,14,8,1,6,Standard,Monthly,715.0,2,1
237426,26,Female,18,17,5,11,Basic,Monthly,202.36,11,1
96617,58,Male,2,6,3,0,Standard,Annual,647.0,29,1
366270,49,Female,49,30,3,3,Basic,Annual,875.8,15,0
292741,30,Male,6,15,2,15,Standard,Quarterly,951.94,27,0
386050,32,Female,29,30,0,15,Premium,Annual,666.71,12,0
28687,19,Male,39,14,1,29,Standard,Monthly,635.0,10,1
430694,43,Male,43,28,1,8,Premium,Annual,970.35,28,0
331412,49,Male,28,14,1,4,Basic,Quarterly,565.18,20,0
330305,20,Male,35,28,0,0,Basic,Annual,894.54,3,0
430620,42,Male,23,20,1,11,Premium,Quarterly,638.7,10,0
168512,54,Female,56,26,9,9,Premium,Annual,979.0,16,1
256699,65,Female,48,3,5,3,Basic,Quarterly,144.35,4,1
51864,43,Female,51,24,6,18,Premium,Quarterly,434.0,17,1
397615,36,Male,40,18,3,12,Premium,Quarterly,644.73,14,0
266101,47,Male,20,26,2,9,Standard,Quarterly,517.57,16,0
116546,42,Female,49,18,1,4,Basic,Quarterly,511.0,20,1
428266,27,Male,22,23,1,3,Standard,Quarterly,518.75,26,0
360088,22,Male,29,4,2,15,Basic,Annual,664.43,1,0
163858,59,Male,20,11,6,28,Standard,Quarterly,924.0,27,1
434566,44,Male,33,24,2,8,Premium,Annual,778.65,25,0
387628,34,Female,26,19,0,18,Basic,Annual,935.92,5,0
31432,60,Male,23,9,7,19,Standard,Quarterly,361.0,22,1
18331,55,Male,14,23,4,22,Basic,Annual,585.0,7,1
193554,46,Male,49,7,10,29,Premium,Monthly,932.0,17,1
48827,30,Female,28,4,6,0,Premium,Annual,450.0,30,1
380838,40,Male,23,10,0,14,Basic,Quarterly,917.8,25,0
23906,31,Female,54,2,8,9,Premium,Annual,654.0,10,1
14914,55,Male,6,15,9,18,Premium,Monthly,843.0,24,1
177156,20,Male,28,13,8,28,Premium,Monthly,821.0,7,1
106805,53,Female,41,27,8,20,Standard,Monthly,198.0,14,1
123679,29,Male,39,23,0,29,Basic,Quarterly,131.0,26,1
158618,50,Female,49,4,6,12,Premium,Annual,132.0,21,1
105202,26,Male,22,10,6,12,Premium,Quarterly,743.0,15,1
438095,41,Male,10,13,3,19,Premium,Quarterly,642.17,1,0
366883,22,Male,23,10,1,19,Basic,Annual,985.58,27,0
435620,32,Male,39,17,3,13,Premium,Quarterly,728.34,3,0
427277,43,Male,55,10,4,18,Standard,Quarterly,981.97,30,0
70232,50,Male,27,7,10,30,Basic,Quarterly,520.0,7,1
338191,50,Male,20,14,4,19,Standard,Annual,709.92,30,0
419156,18,Male,22,11,0,5,Standard,Annual,804.93,28,0
346021,26,Male,47,26,2,1,Standard,Quarterly,981.1,30,0
339308,48,Female,36,18,4,0,Premium,Annual,720.48,1,0
200723,30,Female,2,19,5,25,Standard,Quarterly,466.0,5,1
192853,23,Female,25,17,7,29,Premium,Annual,541.0,25,1
184455,24,Female,44,21,10,8,Standard,Monthly,395.0,5,1
351084,38,Male,57,5,3,0,Premium,Annual,530.3,26,0
204673,57,Male,59,11,5,28,Standard,Monthly,294.97,13,1
110252,61,Female,55,23,2,8,Premium,Annual,130.0,30,1
401522,37,Male,31,10,0,8,Standard,Quarterly,938.11,25,0
4027,31,Female,50,17,1,7,Standard,Quarterly,822.0,23,1
98133,59,Female,26,15,2,12,Premium,Quarterly,534.0,29,1
255752,31,Male,31,15,0,30,Standard,Quarterly,634.94,9,1
373413,49,Male,21,24,1,7,Standard,Annual,901.32,30,0
436346,35,Male,3,2,2,13,Premium,Annual,836.06,11,0
291328,47,Male,10,10,4,9,Standard,Quarterly,660.32,21,0
137308,23,Female,39,18,7,9,Premium,Quarterly,615.0,28,1
293115,48,Female,57,24,4,14,Standard,Annual,569.91,9,0
222718,41,Female,54,19,4,28,Premium,Annual,183.37,25,1
124238,36,Male,41,14,9,25,Premium,Quarterly,574.0,18,1
234524,58,Male,34,3,1,22,Premium,Monthly,741.5,6,1
304047,40,Male,50,10,3,4,Premium,Quarterly,804.78,23,0
61465,59,Female,10,4,10,18,Basic,Annual,114.0,25,1
208275,34,Male,52,19,7,25,Standard,Annual,377.71,1,1
46174,57,Male,50,11,10,20,Standard,Quarterly,816.0,1,1
5308,50,Male,13,19,10,16,Premium,Annual,850.0,29,1
49717,20,Male,13,5,3,4,Premium,Monthly,603.0,24,1
349774,40,Female,27,7,2,9,Basic,Quarterly,634.86,3,0
439340,49,Male,20,11,0,1,Standard,Quarterly,831.75,23,0
117534,65,Male,8,12,0,13,Basic,Quarterly,159.0,17,1
411132,32,Female,33,26,3,14,Basic,Quarterly,794.94,9,0
118724,56,Female,6,4,2,24,Premium,Quarterly,489.0,28,1
294093,31,Male,43,9,2,3,Standard,Quarterly,613.86,21,0
323303,19,Male,1,9,0,12,Standard,Quarterly,750.51,8,0
219247,39,Male,44,4,9,0,Premium,Annual,708.4,15,1
304449,42,Male,30,12,4,15,Basic,Quarterly,707.83,22,0
74779,26,Female,48,3,2,6,Premium,Quarterly,117.0,23,1
403214,37,Male,43,5,1,6,Basic,Quarterly,977.64,27,0
115503,52,Male,2,3,10,7,Standard,Monthly,937.0,26,1
278428,35,Female,39,5,0,5,Standard,Quarterly,787.0,3,0
60677,56,Female,3,3,10,19,Standard,Monthly,100.0,20,1
356838,27,Female,11,26,1,9,Standard,Quarterly,740.95,1,0
52569,33,Female,57,16,7,18,Premium,Monthly,392.0,7,1
210547,64,Female,19,3,0,18,Basic,Monthly,260.39,20,1
375651,27,Female,7,13,2,13,Standard,Quarterly,859.97,15,0
394377,25,Male,6,27,0,20,Standard,Annual,517.89,24,0
114519,40,Male,27,18,4,14,Premium,Monthly,752.0,21,1
346556,36,Male,12,19,1,15,Premium,Quarterly,785.89,27,0
159026,28,Male,27,8,0,21,Basic,Quarterly,623.0,18,1
161689,56,Female,50,3,7,23,Basic,Annual,569.0,15,1
185974,34,Female,23,24,9,28,Standard,Quarterly,657.0,5,1
403145,23,Male,23,30,0,15,Premium,Annual,885.77,19,0
404418,39,Male,24,19,3,13,Standard,Quarterly,922.61,24,0
95528,22,Female,52,22,6,23,Standard,Quarterly,532.0,25,1
77071,48,Male,22,10,6,2,Basic,Annual,144.0,7,1
146051,58,Female,47,12,4,8,Premium,Monthly,698.0,19,1
90238,18,Male,8,15,9,30,Basic,Monthly,236.0,15,1
313752,39,Male,30,3,0,19,Premium,Quarterly,942.76,11,0
259837,38,Female,18,6,2,30,Standard,Monthly,544.06,30,1
119302,32,Male,55,11,2,11,Basic,Annual,262.0,5,1
155364,36,Female,42,28,4,27,Premium,Annual,823.0,26,1
444174,46,Female,38,18,0,17,Basic,Annual,640.7,6,0
359085,43,Female,8,27,4,5,Premium,Annual,530.4,14,0
51379,19,Female,13,22,0,24,Standard,Annual,497.0,25,1
154961,62,Female,30,26,1,2,Basic,Monthly,633.0,5,1
370011,27,Male,31,6,1,5,Premium,Annual,502.82,13,0
91096,29,Male,22,23,5,20,Basic,Quarterly,822.0,25,1
21737,35,Male,14,18,2,13,Premium,Annual,595.0,26,0
373481,48,Male,9,17,3,15,Premium,Annual,805.25,9,0
334434,47,Male,29,12,4,6,Premium,Quarterly,724.81,11,0
422886,39,Male,55,14,2,8,Standard,Annual,544.9,1,0
87486,18,Female,35,4,1,8,Standard,Quarterly,509.0,27,1
264819,35,Male,51,24,0,10,Premium,Quarterly,996.81,21,0
87626,42,Female,21,13,8,29,Premium,Annual,257.0,26,1
93252,30,Female,40,30,2,16,Premium,Monthly,332.0,22,1
60296,27,Male,47,19,6,0,Standard,Quarterly,128.0,16,1
343216,50,Male,33,25,4,11,Premium,Annual,952.48,22,0
67445,48,Female,22,8,0,16,Basic,Monthly,318.0,16,1
289554,39,Male,34,28,1,6,Basic,Annual,884.4,23,0
271669,25,Female,30,9,1,8,Basic,Quarterly,869.01,14,0
366104,46,Female,31,6,4,10,Basic,Annual,853.41,5,0
30905,18,Female,42,22,4,2,Standard,Annual,284.0,3,1
281966,45,Male,58,2,2,14,Premium,Quarterly,829.28,24,0
149594,39,Male,55,26,2,12,Basic,Monthly,659.0,26,1
85285,56,Male,58,19,1,2,Standard,Monthly,955.0,11,1
390388,50,Male,19,10,1,1,Standard,Quarterly,619.61,11,0
33244,52,Male,37,4,9,13,Premium,Monthly,258.0,18,1
89599,31,Male,22,29,2,23,Premium,Monthly,748.0,1,1
392358,27,Male,59,7,2,5,Premium,Annual,895.91,2,0
227481,35,Female,27,22,5,29,Premium,Quarterly,337.73,4,1
243305,33,Male,48,28,10,3,Premium,Quarterly,487.49,27,1
103028,37,Female,10,19,1,22,Premium,Monthly,442.0,2,1
285043,49,Female,8,29,4,9,Basic,Annual,763.85,8,0
163636,46,Female,44,4,3,2,Standard,Monthly,583.0,30,1
128451,59,Female,38,6,1,0,Standard,Monthly,456.0,8,1
250923,43,Male,60,2,4,12,Premium,Monthly,199.01,11,1
226629,28,Male,10,8,9,1,Basic,Annual,407.21,3,1
272763,45,Male,40,7,1,6,Basic,Annual,582.0,12,0
396496,43,Male,7,17,0,7,Standard,Annual,678.16,1,0
127457,23,Female,14,1,1,4,Basic,Annual,518.0,13,1
5951,46,Female,44,2,1,13,Basic,Quarterly,652.0,30,1
211642,25,Female,60,8,8,2,Premium,Quarterly,476.45,25,1
192220,23,Female,17,12,10,9,Standard,Quarterly,379.0,24,1
391223,19,Female,24,23,0,2,Standard,Quarterly,873.82,12,0
4637,36,Female,6,7,6,11,Standard,Annual,710.0,5,1
217052,18,Male,7,11,1,21,Standard,Monthly,251.95,26,1
36751,45,Female,12,3,3,14,Standard,Annual,934.0,8,1
96923,35,Female,5,1,9,11,Basic,Annual,713.0,5,1
163735,45,Female,36,8,6,2,Basic,Monthly,206.0,20,1
377218,46,Male,48,19,3,10,Standard,Quarterly,700.55,17,0
181939,27,Male,7,26,9,30,Standard,Monthly,171.0,20,1
116271,46,Female,24,6,9,5,Basic,Quarterly,773.0,8,1
39431,23,Male,44,3,5,15,Premium,Quarterly,737.0,18,1
238749,44,Male,18,28,7,12,Standard,Annual,824.52,2,1
197058,48,Female,7,2,8,24,Premium,Monthly,468.0,29,1
409447,22,Male,24,15,2,0,Basic,Annual,810.49,7,0
18791,34,Male,33,15,3,9,Premium,Quarterly,791.0,21,0
11725,42,Male,18,14,5,22,Premium,Monthly,248.0,26,1
93985,31,Male,22,29,5,13,Standard,Monthly,256.0,22,1
290673,43,Male,57,25,1,4,Premium,Quarterly,676.78,19,0
39762,61,Male,20,9,2,24,Premium,Monthly,654.0,7,1
385846,32,Male,48,30,0,7,Standard,Annual,870.45,6,0
25811,18,Female,49,1,4,18,Basic,Monthly,914.0,2,1
381768,50,Male,6,2,3,12,Standard,Quarterly,719.28,4,0
308744,43,Female,34,23,0,4,Premium,Quarterly,681.56,5,0
252555,21,Male,45,4,2,24,Premium,Quarterly,595.6,16,1
262507,47,Female,18,28,1,11,Basic,Annual,785.43,11,0
306718,44,Female,13,15,3,1,Standard,Annual,881.27,8,0
325894,50,Female,56,9,2,10,Basic,Annual,503.5,13,0
429582,27,Male,25,19,1,2,Basic,Quarterly,590.44,3,0
53357,51,Female,9,9,4,13,Standard,Quarterly,410.0,8,1
187283,33,Male,14,14,6,21,Basic,Annual,760.0,23,1
79248,38,Female,30,24,2,12,Standard,Monthly,752.0,28,1
147438,30,Male,47,17,6,17,Standard,Monthly,253.0,22,1
257129,38,Male,46,2,6,8,Standard,Quarterly,218.23,14,1
187669,24,Male,37,26,10,5,Premium,Quarterly,485.0,27,1
40112,22,Male,9,4,4,1,Basic,Quarterly,804.0,25,1
101794,35,Male,40,12,8,19,Standard,Quarterly,764.0,6,1
339126,35,Female,6,4,3,3,Standard,Annual,944.81,5,0
298525,23,Female,9,2,0,2,Premium,Quarterly,947.84,12,0
212824,51,Female,15,10,2,22,Basic,Monthly,600.47,6,1
100028,44,Female,17,29,4,7,Premium,Monthly,867.0,7,1
346130,33,Male,15,20,3,15,Basic,Quarterly,554.15,17,0
413988,18,Female,53,14,0,19,Standard,Quarterly,889.78,2,0
378447,36,Female,1,13,0,14,Standard,Quarterly,902.37,13,0
119294,48,Male,45,23,4,17,Standard,Monthly,622.0,21,1
432749,48,Male,45,28,0,8,Premium,Quarterly,931.5,20,0
319336,44,Male,43,3,4,19,Premium,Annual,932.41,17,0
130947,39,Male,48,8,2,2,Standard,Quarterly,491.0,16,1
167607,20,Female,59,1,4,19,Premium,Monthly,941.0,15,1
53979,57,Female,55,9,1,8,Premium,Quarterly,430.0,18,1
326590,29,Female,27,27,1,17,Standard,Annual,614.75,8,0
388252,28,Male,32,4,1,19,Standard,Annual,831.69,7,0
337992,38,Female,41,22,0,7,Premium,Quarterly,908.82,15,0
193159,63,Male,21,26,6,28,Basic,Quarterly,781.0,2,1
303128,46,Male,6,13,4,18,Basic,Quarterly,885.12,24,0
314086,23,Male,12,19,2,5,Basic,Annual,981.25,21,0
29002,30,Female,30,29,7,21,Basic,Annual,912.0,4,1
366862,47,Male,12,12,0,15,Basic,Annual,979.25,1,0
17359,63,Female,57,26,4,10,Basic,Annual,308.0,16,1
346978,25,Male,51,20,2,20,Basic,Annual,899.55,16,0
31597,37,Male,53,16,9,9,Basic,Annual,554.0,10,1
4183,53,Female,59,24,2,21,Standard,Quarterly,151.0,7,1
407734,37,Male,31,5,3,13,Basic,Annual,610.54,6,0
177718,53,Female,39,24,3,21,Basic,Quarterly,511.0,30,1
118258,64,Male,9,29,10,19,Standard,Monthly,925.0,28,1
68697,28,Male,40,29,8,13,Standard,Quarterly,474.0,21,1
119029,32,Female,20,22,6,29,Basic,Annual,291.0,16,1
317615,32,Male,35,8,0,0,Premium,Annual,645.33,30,0
244158,28,Male,5,2,5,17,Standard,Annual,341.85,14,1
122409,40,Female,15,11,1,12,Basic,Quarterly,238.0,4,1
276990,39,Female,42,5,1,3,Standard,Annual,829.75,15,0
371065,39,Male,60,28,2,10,Premium,Quarterly,860.0,19,0
256176,30,Female,46,14,2,25,Standard,Annual,509.71,17,1
193343,49,Female,43,21,10,12,Standard,Quarterly,861.0,8,1
54543,52,Female,32,21,10,17,Premium,Quarterly,793.0,8,1
87936,28,Female,20,20,10,10,Basic,Quarterly,844.0,26,1
400247,40,Female,7,20,4,18,Standard,Quarterly,783.37,12,0
88054,45,Male,20,16,1,26,Standard,Quarterly,127.0,12,1
69450,52,Male,31,7,10,14,Standard,Quarterly,724.0,20,1
91318,55,Female,6,4,3,8,Basic,Quarterly,944.0,21,1
344142,48,Female,13,30,0,9,Standard,Annual,741.32,15,0
331003,40,Female,46,8,2,13,Standard,Quarterly,904.87,6,0
371276,49,Male,8,4,1,11,Basic,Annual,712.05,20,0
323157,50,Male,54,16,4,8,Standard,Quarterly,568.78,5,0
29160,51,Male,5,26,2,6,Basic,Quarterly,978.0,2,1
18531,60,Female,49,1,5,0,Premium,Quarterly,552.0,14,1
33108,31,Male,25,20,1,22,Premium,Monthly,716.0,22,1
